name,display,category,slots,basePrice,sellable,direct_consume_primary,num_recipes_using,best_use_recipe,best_use_product,best_use_product_per_slot,verdict
Enchantment_Dark,Scroll of Dark,Enchantments,2,1000,1,,9,Recipe_Enchantment_ChaosStrike,Scroll of Chaos Strike,0.0,SITUATIONAL
Enchantment_Fire,Scroll of Embers,Enchantments,2,1000,1,,9,Recipe_Enchantment_FlameThrower,Scroll Of Flame Thrower,0.0,SITUATIONAL
Enchantment_Light,Scroll of Light,Enchantments/GunsAndMagic_ItemDefinitions,2,1000,1,,9,Recipe_Enchantment_HolyFire,Scroll of Holy Fire,0.0,SITUATIONAL
Enchantment_Nature,Scroll of Nature,Enchantments,2,1000,1,,9,Recipe_Enchantment_Charm,Scroll of Charm,0.0,SITUATIONAL
Enchantment_Poison,Scroll of Plague,Enchantments,2,1000,1,,9,Recipe_Enchantment_Pesticide,Scroll of Pesticide,0.0,SITUATIONAL
Enchantment_Earth,Scroll of Earth,Enchantments,2,1000,1,,8,Recipe_Enchantment_Sacrifice,Scroll of Sacrifice,0.0,SITUATIONAL
Enchantment_Electricity,Scroll of Surge,Enchantments,2,1000,1,,8,Recipe_Enchantment_ChainLightning,Scroll of Chain Lightning,0.0,SITUATIONAL
Enchantment_Frost,Scroll of Frostbite,Enchantments,2,1000,1,,8,Recipe_Enchantment_Prism,Scroll of Prism,0.0,SITUATIONAL
Enchantment_Water,Scroll of Water,Enchantments,2,1000,1,,8,Recipe_Enchantment_Pesticide,Scroll of Pesticide,0.0,SITUATIONAL
Item_RobotSeptacoil,Robot septacoil,Organs/Robot,2,100,1,,2,Recipe_MetalScrap_4,Metal Scrap,0.0,SITUATIONAL
Item_ClergyCollar,Father's Shirt,Equipment/Torso,4,1,1,,1,Recipe_MolotovCocktail_3,Molotov Cocktail,0.0,SITUATIONAL
Item_PlainWhiteTee,Plain White Tee,Equipment/Torso,6,150,1,,1,Recipe_MolotovCocktail_5,Molotov Cocktail,0.0,SITUATIONAL
Item_RobotHydraul,Robot hydraul,Organs/Robot,1,240,1,,1,Recipe_MetalScrap_1,Metal Scrap,0.0,SITUATIONAL
Item_RobotJoint,Robot joint pneumatic,Organs/Robot,1,230,1,,1,Recipe_MetalScrap_2,Metal Scrap,0.0,SITUATIONAL
Item_RobotPlate,Robot plate,Organs/Robot,1,140,1,,1,Recipe_MetalScrap_3,Metal Scrap,0.0,SITUATIONAL
Item_RobotSoulCapsule,Robot soul capsule,Organs/Robot,2,800,1,,1,Recipe_MetalScrap_5,Metal Scrap,0.0,SITUATIONAL
Item_Shoe,Shoe,Equipment/Shoes,2,380,1,,1,Recipe_SpringCoilBoots_1,Springcoil Boot,0.0,SITUATIONAL
Item_Tunic,Green Tunic,Equipment/Torso,6,500,1,,1,Recipe_MolotovCocktail_4,Molotov Cocktail,0.0,SITUATIONAL
Item_CactusSweets,Lackerol Cactus,Consumables/Foodstuffs,1,30,1,10,0,,,,SITUATIONAL
Item_GumHubba,Sweet Gum,Consumables/Foodstuffs,1,80,1,10,0,,,,SITUATIONAL
Item_HardBread,Hard Bread,Consumables/Foodstuffs,1,60,1,8,0,,,,SITUATIONAL
Item_MycotaSquamata,Mycota Squamata,Consumables/Foodstuffs,2,120,1,5,0,,,,SITUATIONAL
Item_RodsoppPaste,Rödsopp Paste,Consumables/Other,2,50,1,8,0,,,,SITUATIONAL
Item_Worm,Earthworm,Consumables/Foodstuffs,1,10,1,5,0,,,,SITUATIONAL
