name,display,category,slots,basePrice,buffs_readable,primary_attribute,primary_total_effect,total_effect_per_slot
Item_SpanishOmelette,Spanish Omelette,Consumables/Foodstuffs,2,220,Stat_HealthRegen Flat total=30 over 10s,Stat_HealthRegen,30,15.0
Item_SportsDrink,Sports Drink,Consumables/Drinks,2,120,Stat_AimMovingBonus PercentAdd total=125.99999999999999 over 180s; Stat_MovementSpeed PercentAdd total=15 over 30s; Stat_WeaponWeightPenalty PercentAdd total=-90 over 180s; Resistance_Fire PercentAdd total=-90 over 180s,Stat_AimMovingBonus,125.99999999999999,63.0
Item_Stew,Stew,Consumables/Foodstuffs,2,65,Stat_HealthRegen Flat total=20 over 3s,Stat_HealthRegen,20,10.0
Item_Stout,Stout,Consumables/Drinks,2,40,Stat_HealthRegen Flat total=15 over 10s; Stat_Charisma Flat total=1200 over 120s,Stat_Charisma,1200,600.0
Item_Sugar,Sugar,Consumables/Foodstuffs,4,30,Stat_HealthRegen Flat total=10 over 10s,Stat_HealthRegen,10,2.5
Item_SulfCola,SulfCola,Consumables/Drinks,2,300,Stat_HealthRegen Flat total=30 over 4s; Stat_ExtraJumps Flat total=20 over 20s,Stat_HealthRegen,30,15.0
Item_Surstromming,Surstromming,Consumables/Foodstuffs,1,350,Stat_HealthRegen Flat total=50 over 50s; status:NegativeEffect_Poisoned=5,Stat_HealthRegen,50,50.0
Item_SwedishPancakes,Swedish Pancakes,Consumables/Foodstuffs,2,220,Stat_HealthRegen Flat total=30 over 3s,Stat_HealthRegen,30,15.0
Item_SwingDing,Swing-Ding,Consumables/Foodstuffs,1,10,Stat_HealthRegen Flat total=5 over 1s,Stat_HealthRegen,5,5.0
Item_ToastSkagen,Toast Skagen,Consumables/Foodstuffs,1,150,Stat_HealthRegen Flat total=15 over 5s,Stat_HealthRegen,15,15.0
Item_TongueOnStick,Tongue On Stick,Consumables/Foodstuffs,2,120,Stat_HealthRegen Flat total=20 over 2s,Stat_HealthRegen,20,10.0
Item_Unagi,Unagi,Consumables/Foodstuffs,2,400,Stat_HealthRegen Flat total=60 over 10s; Resistance_Electric Flat total=100 over 60s,Resistance_Electric,100,50.0
Item_UsedRubber,Used Rubber,Misc,1,150,status:NegativeEffect_Poisoned=5,NegativeEffect_Poisoned,5,5.0
Item_VacuumCleaner,Vacuum Cleaner,Consumables/Foodstuffs,1,40,Stat_HealthRegen Flat total=15 over 3s,Stat_HealthRegen,15,15.0
Item_VelvetBell,Velvet Bell,Consumables/Foodstuffs,1,10,Stat_HealthRegen Flat total=1 over 1s,Stat_HealthRegen,1,1.0
Item_Walnut,Walnut,Consumables/Foodstuffs,1,40,Stat_HealthRegen Flat total=5 over 5s,Stat_HealthRegen,5,5.0
Item_Wine,Red Wine,Consumables/Drinks,2,200,Stat_HealthRegen Flat total=30 over 10s; Stat_Charisma Flat total=2400 over 120s,Stat_Charisma,2400,1200.0
Item_Worm,Earthworm,Consumables/Foodstuffs,1,10,Stat_HealthRegen Flat total=5 over 1s,Stat_HealthRegen,5,5.0
